iterations,value
100,0.95
600,0.954167
1100,0.905682
1600,0.939063
2100,0.945833
2600,0.921154
3100,0.943548
3600,0.945486
4100,0.946951
4600,0.957065
5100,0.940441
5600,0.93683
6100,0.938115
6600,0.950758
7100,0.939613
7600,0.946053
8100,0.94429
8600,0.951599
9100,0.949313
9600,0.947526
10100,0.938119
10600,0.94434
11100,0.94527
11600,0.943427
12100,0.942459
12600,0.938294
13100,0.94771
13600,0.939706
14100,0.946543
14600,0.945034
15100,0.938079
15600,0.939183
16100,0.949922
16600,0.943976
17100,0.942251
17600,0.939205
18100,0.947099
18600,0.941129
19100,0.942081
19600,0.948788
20100,0.937935
20600,0.947391
21100,0.954621
21600,0.941725
22100,0.949095
22600,0.942478
23100,0.94697
23600,0.940731
24100,0.950207
24600,0.942022
25100,0.948058
25600,0.944678
26100,0.946552
26600,0.93797
27100,0.944419
27600,0.951495
28100,0.943683
28600,0.94257
29100,0.944845
29600,0.948438
30100,0.949917
30600,0.947018
31100,0.943891
31600,0.948418
32100,0.941511
32600,0.945322
33100,0.945015
33600,0.942671
34100,0.945968
34600,0.939993
35100,0.944516
35600,0.943048
36100,0.944494
36600,0.943955
37100,0.948518
37600,0.942753
38100,0.945735
38600,0.944786
39100,0.940026
39600,0.942708
40100,0.94096
40600,0.941287
41100,0.945408
41600,0.945102
42100,0.944804
42600,0.946391
43100,0.943823
43600,0.944467
44100,0.945918
44600,0.942377
45100,0.940216
45600,0.944326
46100,0.944875
46600,0.945762
47100,0.947373
47600,0.941518
48100,0.94488
48600,0.942798
49100,0.945265
49600,0.947707
50100,0.939795
50600,0.939921
51100,0.949364
51600,0.946148
52100,0.94405
52600,0.943489
53100,0.94435
53600,0.947528
54100,0.942537
54600,0.943796
55100,0.943376
55600,0.946897
56100,0.943182
56600,0.943286
57100,0.944702
57600,0.946137
58100,0.940684
58600,0.945073
59100,0.943824
59600,0.943268
60100,0.944322
60600,0.944389
61100,0.945254
61600,0.949107
62100,0.944968
62600,0.944708
63100,0.946375
63600,0.947032
64100,0.944033
64600,0.946865
65100,0.942243
65600,0.945179
66100,0.940601
66600,0.94131
67100,0.945212
67600,0.941956
68100,0.944218
68600,0.945554
69100,0.943705
69600,0.945923
70100,0.94465
70600,0.943998
71100,0.947117
71600,0.943261
72100,0.94518
72600,0.94282
73100,0.942886
73600,0.944395
74100,0.943067
74600,0.947218
75100,0.945706
75600,0.946197
76100,0.945434
76600,0.94202
77100,0.94559
77600,0.939803
78100,0.94507
78600,0.946295
79100,0.945923
79600,0.943986
80100,0.946114
80600,0.941548
81100,0.945222
81600,0.942693
82100,0.943423
82600,0.945596
83100,0.94633
83600,0.944602
84100,0.942895
84600,0.947193
85100,0.942891
85600,0.944831
86100,0.946124
86600,0.944746
87100,0.94459
87600,0.941067
88100,0.945105
88600,0.948533
89100,0.945216
89600,0.941922
90100,0.945921
90600,0.944454
91100,0.944566
91600,0.941703
92100,0.945413
92600,0.94209
93100,0.940091
93600,0.943162
94100,0.943199
94600,0.943948
95100,0.943086
95600,0.945123
96100,0.943184
96600,0.945652
97100,0.943808
97600,0.942072
98100,0.944075
98600,0.942888
99100,0.944198
99600,0.944842
