iterations,value
100,1.26388
600,0.858789
1100,0.919184
1600,0.850687
2100,0.89814
2600,0.818903
3100,0.931443
3600,0.964112
4100,0.998297
4600,0.948965
5100,0.939806
5600,0.930547
6100,0.930775
6600,0.935387
7100,0.942089
7600,0.954304
8100,0.925403
8600,0.992562
9100,0.951915
9600,0.928667
10100,0.926009
10600,0.957539
11100,0.956448
11600,0.950423
12100,0.925612
12600,0.922831
13100,0.981119
13600,0.960061
14100,0.965318
14600,0.9549
15100,0.925213
15600,0.97533
16100,0.896731
16600,0.965771
17100,0.973919
17600,0.929679
18100,0.935151
18600,0.971691
19100,0.937601
19600,0.924099
20100,0.935937
20600,0.956639
21100,0.978204
21600,0.95646
22100,0.943619
22600,0.945112
23100,0.919605
23600,0.95038
24100,0.964145
24600,0.972609
25100,0.943163
25600,0.949048
26100,0.962529
26600,0.962345
27100,0.953559
27600,0.967282
28100,0.940729
28600,0.928022
29100,0.925775
29600,0.937398
30100,0.931516
30600,0.957281
31100,0.945017
31600,0.953446
32100,0.96131
32600,0.929866
33100,0.958702
33600,0.937202
34100,0.945128
34600,0.939619
35100,0.969721
35600,0.95692
36100,0.956055
36600,0.942994
37100,0.956753
37600,0.939634
38100,0.950779
38600,0.938463
39100,0.962765
39600,0.959693
40100,0.914269
40600,0.934379
41100,0.964171
41600,0.932717
42100,0.948197
42600,0.944599
43100,0.955296
43600,0.967754
44100,0.929445
44600,0.946927
45100,0.94225
45600,0.952812
46100,0.934253
46600,0.914006
47100,0.956526
47600,0.940147
48100,0.942704
48600,0.941407
49100,0.951423
49600,0.936736
50100,0.968915
50600,0.953576
51100,0.938728
51600,0.943575
52100,0.936945
52600,0.94301
53100,0.938525
53600,0.941378
54100,0.959095
54600,0.946929
55100,0.970273
55600,0.938466
56100,0.937034
56600,0.940608
57100,0.918069
57600,0.951284
58100,0.940085
58600,0.938369
59100,0.957408
59600,0.937958
60100,0.938081
60600,0.956652
61100,0.918432
61600,0.917132
62100,0.94967
62600,0.914285
63100,0.934465
63600,0.94638
64100,0.940363
64600,0.932783
65100,0.9413
65600,0.956059
66100,0.940444
66600,0.947981
67100,0.941207
67600,0.947477
68100,0.939949
68600,0.939192
69100,0.952375
69600,0.953496
70100,0.952242
70600,0.928698
71100,0.944456
71600,0.929577
72100,0.92812
72600,0.935521
73100,0.936304
73600,0.930208
74100,0.957912
74600,0.933768
75100,0.924315
75600,0.949837
76100,0.93146
76600,0.92538
77100,0.946994
77600,0.932999
78100,0.943707
78600,0.947846
79100,0.948615
79600,0.944244
80100,0.962989
80600,0.954844
81100,0.944761
81600,0.94493
82100,0.956819
82600,0.952793
83100,0.957121
83600,0.945117
84100,0.945741
84600,0.961641
85100,0.93794
85600,0.950748
86100,0.943871
86600,0.947515
87100,0.944308
87600,0.960116
88100,0.957206
88600,0.931942
89100,0.956392
89600,0.960169
90100,0.952036
90600,0.948069
91100,0.936569
91600,0.940479
92100,0.946246
92600,0.945861
93100,0.932114
93600,0.939287
94100,0.957336
94600,0.94909
95100,0.958515
95600,0.939874
96100,0.931039
96600,0.947053
97100,0.950787
97600,0.94741
98100,0.938221
98600,0.935731
99100,0.943763
99600,0.947518
